City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,portland,45.5234,-122.6762,289.14,83,0,2.06,US,1690630484
228,yorkton,51.2167,-102.4677,278.06,100,20,1.03,CA,1690630422
229,broome,42.2506,-75.833,296.86,87,0,0.45,US,1690630484
230,hailun,47.45,126.9333,293.65,91,11,3.87,CN,1690630484
231,saint-denis,48.9167,2.3333,297.46,71,100,5.14,FR,1690630484
232,gueckedou,8.6667,-10.25,298.08,86,100,2.37,GN,1690630484
233,cururupu,-1.8283,-44.8683,302.05,66,11,3.22,BR,1690630484
234,fortuna,40.5982,-124.1573,287.66,94,100,0.0,US,1690630327
235,jieshi,22.8134,115.8257,301.61,86,100,4.71,CN,1690630484
236,punta arenas,-53.15,-70.9167,278.61,80,100,6.96,CL,1690630423
237,dudinka,69.4058,86.1778,299.61,60,56,4.0,RU,1690630485
238,kavaratti,10.5669,72.642,301.45,78,34,6.9,IN,1690630485
239,yeraliyev,43.2,51.65,304.4,47,5,10.32,KZ,1690630485
240,sao vicente,-23.9631,-46.3919,293.25,62,100,2.06,BR,1690630485
241,piti village,13.4626,144.6933,301.64,84,0,0.0,GU,1690630485
242,aban,56.67,96.06,294.71,83,97,1.79,RU,1690630485
243,laojunmiao,39.8333,97.7333,303.2,16,12,11.35,CN,1690630485
244,port blair,11.6667,92.75,303.17,79,75,6.69,IN,1690630485
245,undurkhaan,47.3194,110.6556,299.36,34,21,2.19,MN,1690630485
246,argo,37.6333,22.7333,305.81,31,0,3.32,GR,1690630486
247,pallappatti,10.7,77.8833,305.8,42,83,10.92,IN,1690630486
248,luderitz,-26.6481,15.1594,287.22,65,12,6.21,NA,1690630486
249,robore,-18.3333,-59.75,291.84,75,38,1.83,BO,1690630486
250,san fernando de apure,7.8878,-67.4724,296.83,98,99,1.19,VE,1690630486
251,namsos,64.4662,11.4957,287.18,82,100,2.06,NO,1690630486
252,mar del plata,-38.0023,-57.5575,283.2,89,0,8.23,AR,1690630486
253,guiyang,26.5833,106.7167,298.42,78,100,5.0,CN,1690630337
254,monte azul,-15.155,-42.8747,298.71,47,40,1.33,BR,1690630486
255,nar'yan-mar,67.6713,53.087,295.3,60,97,3.51,RU,1690630486
256,bathsheba,13.2167,-59.5167,298.49,88,75,5.14,BB,1690630486
257,rexburg,43.826,-111.7897,288.39,71,0,2.06,US,1690630487
258,usogorsk,63.4106,48.6872,303.13,44,57,4.27,RU,1690630487
